"FACULTY_NAME","FACULTY","COURSETITLE","SUBJECT","COURSE_NUMBER","CREDIT","COURSE_TITLE","SECTION","INSTRUCTOR_NAME"
"Faculty of Liberal Arts and Professional Studies","AP","Global Private Security Industry","CRIM","3661","3","Global Private Security Industry","A","Natasha , Tusikov"
"Faculty of Liberal Arts and Professional Studies","AP","Global Private Security Industry","CRIM","3661","3","Global Private Security Industry","A","Ryan , Duffy"
"Faculty of Liberal Arts and Professional Studies","AP","Global Private Security Industry","CRIM","3661","3","Global Private Security Industry","A","Zoe , Savitsky"
"Faculty of Liberal Arts and Professional Studies","AP","God/USA: Religion in America Since 1491","HIST","3650","3","God/USA: Religion in America Since 1491","M","David , Koffman"
"Faculty of Liberal Arts and Professional Studies","AP","Gods and Humans","HUMA","1165","9","Gods and Humans","A","Deborah , Clipperton"
"Faculty of Liberal Arts and Professional Studies","AP","Gods and Humans","HUMA","1165","9","Gods and Humans","A","Eric , Bronson"
"Faculty of Liberal Arts and Professional Studies","AP","Gods and Humans","HUMA","1165","9","Gods and Humans","A","Tony S.L. , Michael"
"Faculty of Liberal Arts and Professional Studies","AP","Gods and Humans","HUMA","1165","9","Gods and Humans","B","Albana , Stafa"
"Faculty of Liberal Arts and Professional Studies","AP","Gods and Humans","HUMA","1165","9","Gods and Humans","B","Alicia , Turner"
"Faculty of Liberal Arts and Professional Studies","AP","Gods and Humans","HUMA","1165","9","Gods and Humans","B","Alma , Ekuban"
"Faculty of Liberal Arts and Professional Studies","AP","Gods and Humans","HUMA","1165","9","Gods and Humans","B","Arooj , Hussain"
"Faculty of Liberal Arts and Professional Studies","AP","Gods and Humans","HUMA","1165","9","Gods and Humans","B","Deborah , Clipperton"
"Faculty of Liberal Arts and Professional Studies","AP","Gods and Humans","HUMA","1165","9","Gods and Humans","B","Eric , Bronson"
